Iteration 1
0.001735,0.002428,0.001735,0.002428,0.001735
0.002428,0.001735,0.001735,0.001735,0.002428
0.001735,0.001735,0.001735,0.002428,0.002428
0.002428,0.001735,0.002428,0.001735,0.001735
0.001735,0.002428,0.002428,0.001735,0.001735
Iteration 2
0.001735,0.002838,0.001735,0.002838,0.001735
0.002838,0.001735,0.001735,0.001735,0.002797
0.001735,0.001735,0.001735,0.002797,0.002884
0.002838,0.001735,0.002797,0.001735,0.001735
0.001735,0.002797,0.002884,0.001735,0.001735
Iteration 3
0.001735,0.003080,0.001735,0.003080,0.001735
0.003080,0.001735,0.001735,0.001735,0.002993
0.001735,0.001735,0.001735,0.002993,0.003107
0.003080,0.001735,0.002993,0.001735,0.001735
0.001735,0.002993,0.003107,0.001735,0.001735
Iteration 4
0.001735,0.003143,0.001735,0.003311,0.001735
0.003143,0.001735,0.001735,0.001735,0.003172
0.001735,0.001735,0.001735,0.003097,0.003239
0.003311,0.001735,0.003097,0.001735,0.001735
0.001735,0.003172,0.003239,0.001735,0.001735
Iteration 5
0.001735,0.003177,0.001735,0.003463,0.001735
0.003177,0.001735,0.001735,0.001735,0.003277
0.001735,0.001735,0.001735,0.003153,0.003317
0.003463,0.001735,0.003153,0.001735,0.001735
0.001735,0.003277,0.003317,0.001735,0.001735
Iteration 6
0.001735,0.003195,0.001735,0.003449,0.001735
0.003195,0.001735,0.001735,0.001735,0.003248
0.001735,0.001735,0.001735,0.003182,0.003363
0.003449,0.001735,0.003182,0.001735,0.001735
0.001735,0.003248,0.003363,0.001735,0.001735
Iteration 7
0.001735,0.003205,0.001735,0.003340,0.001735
0.003205,0.001735,0.001735,0.001735,0.003233
0.001735,0.001735,0.001735,0.003198,0.003294
0.003340,0.001735,0.003198,0.001735,0.001735
0.001735,0.003233,0.003294,0.001735,0.001735
Iteration 8
0.001735,0.003210,0.001735,0.003376,0.001735
0.003210,0.001735,0.001735,0.001735,0.003313
0.001735,0.001735,0.001735,0.003206,0.003257
0.003376,0.001735,0.003206,0.001735,0.001735
0.001735,0.003313,0.003257,0.001735,0.001735
